Date,XDV,XCG,XIU,XMD,XCV,XCS,XMV,XIC,XIN,XSP
2017-03-10,0,0.000337187,-0.002172383,0.011363842,0.003482217,0.013943637,0.000689684,-0.000405919,0.004499809,0.00332034
2017-03-13,0.000787161,0.007055202,0.002606157,0.006837111,0,0.010778696,0.003098941,0.002836899,0.004886222,0.001104361
2017-03-14,-0.006712421,-0.010770828,-0.010466323,-0.011691572,-0.006588087,-0.021674775,-0.006899184,-0.009351683,-0.005294399,-0.003685876
2017-03-15,-0.000793258,0.002028218,0.006554085,0.012892962,0.007746201,0.025241842,0.004489898,0.008542292,0.003668325,0.008457475
2017-03-16,0.003562662,0.008742611,0.003478465,0.005190868,0.004234724,0.003554639,0.002752944,0.002830817,0.002437903,-0.001465776
2017-03-17,-0.003562662,-0.002681786,-0.005222085,-0.004390403,-0.00269288,-0.011898118,-0.001375626,-0.004047193,0.000811364,-0.00146773
2017-03-20,-0.006363924,-0.00504809,-0.003058818,-0.00280411,-0.006570119,0,-0.006559486,-0.003249026,-0.001623194,-0.002206038
2017-03-21,-0.008817618,-0.00643077,-0.009232564,-0.005228307,-0.008567026,-0.006604556,-0.001039795,-0.008170071,-0.01061688,-0.012220174
2017-03-22,-0.000805607,0.003389817,0.003526898,-0.002017829,0.002733603,-0.001808676,0.001732065,0.001229839,-0.000410668,0.001489442
2017-03-23,0.010819138,0.003378439,0.005705666,0.005238654,0.006608382,0.009609618,0.00621131,0.006126114,0.002461097,-0.001116733
2017-03-24,-0.001000132,0.000405892,0.000875208,0.001977619,0,-0.000180183,0.000969522,0.001147084,0.002863758,-0.001118022
2017-03-27,0.002398905,-0.005084246,0.00392723,0.004024464,0.003891389,0.00420025,0.000691663,0.004086999,-0.002044656,-0.001492576
2017-03-28,0.002790312,0.016512915,0.006512201,0.002406457,0.006580055,0.00298954,0.005861045,0.005693059,0.00977629,0.007069787
2017-03-29,0.002386187,0,0.003886788,0.00917273,0.00423498,0.011279334,-0.001375792,0.004451222,0.000405247,0.001852153
2017-03-30,-0.002386187,0.002670001,-0.006052689,-0.003579441,-0.00732584,-0.004733539,-0.002067769,-0.004451222,0.002023773,0.002587479
2017-03-31,-0.001992149,-0.001000292,-0.00173637,0.000398395,-0.001937121,0.003552439,-0.001035308,-0.001217069,-0.002834767,-0.001477649
2017-04-03,0.001594365,-0.003677348,0.002603241,-0.000796811,0.000774941,-0.001774673,-0.001036462,0.00202787,-0.001217268,-0.001850097
2017-04-04,0.003974272,0.006342901,0.005185818,0.007148452,0.006180263,0.011186361,0.005859105,0.004850322,0.000405905,0
2017-04-05,-0.005968277,0,-0.001725725,0.000791183,0.000385076,-0.000585689,0.002402547,-0.001209902,-0.006514523,-0.002224851
2017-04-06,0.003585567,0.000997922,0.004738466,-0.000791183,0.001538344,0.007586959,-0.001029077,0.003626536,0.001632614,0.001854293
